img_scenario,detector,descriptor,keypoint_numbers,time_taken_detector,keypoint_number_in front_ego_car, time_taken_discriptor, matched_keypoints,total_time
0,SHITOMASI,BRIEF,1370,16.2418,125,1.11647,0,17.35827
1,SHITOMASI,BRIEF,1301,14.4556,118,1.15473,111,15.61033
2,SHITOMASI,BRIEF,1361,13.6765,123,1.25681,105,14.93331
3,SHITOMASI,BRIEF,1358,14.4134,120,1.16366,101,15.57706
4,SHITOMASI,BRIEF,1333,13.3306,120,1.25594,101,14.58654
5,SHITOMASI,BRIEF,1284,14.4629,113,1.65699,99,16.11989
6,SHITOMASI,BRIEF,1322,16.2547,114,1.16329,101,17.41799
7,SHITOMASI,BRIEF,1366,13.3356,123,1.67466,96,15.01026
8,SHITOMASI,BRIEF,1389,15.5621,111,1.14929,107,16.71139
9,SHITOMASI,BRIEF,1339,13.4379,112,1.15836,93,14.59626
0,SHITOMASI,BRISK,1370,16.0192,125,2.56101,0,18.58021
1,SHITOMASI,BRISK,1301,14.4014,118,2.00408,95,16.40548
2,SHITOMASI,BRISK,1361,14.4009,123,2.02835,88,16.42925
3,SHITOMASI,BRISK,1358,13.6232,120,2.01473,80,15.63793
4,SHITOMASI,BRISK,1333,13.6838,120,2.03922,90,15.72302
5,SHITOMASI,BRISK,1284,14.4224,113,1.95909,82,16.38149
6,SHITOMASI,BRISK,1322,14.1575,114,1.99107,79,16.14857
7,SHITOMASI,BRISK,1366,13.5521,123,2.03302,85,15.58512
8,SHITOMASI,BRISK,1389,14.3024,111,1.92035,86,16.22275
9,SHITOMASI,BRISK,1339,14.9274,112,1.92602,82,16.85342
0,SHITOMASI,ORB,1370,13.1702,125,1.01555,0,14.18575
1,SHITOMASI,ORB,1301,14.2402,118,0.974619,106,15.214819
2,SHITOMASI,ORB,1361,14.4334,123,0.972433,102,15.405833
3,SHITOMASI,ORB,1358,13.3936,120,0.980304,99,14.373904
4,SHITOMASI,ORB,1333,14.0342,120,1.17759,102,15.21179
5,SHITOMASI,ORB,1284,13.6487,113,1.06412,103,14.71282
6,SHITOMASI,ORB,1322,13.744,114,1.44135,97,15.18535
7,SHITOMASI,ORB,1366,14.0317,123,0.967629,98,14.999329
8,SHITOMASI,ORB,1389,13.6055,111,1.44697,104,15.05247
9,SHITOMASI,ORB,1339,14.636,112,0.970756,97,15.606756
0,SHITOMASI,FREAK,1370,13.1969,125,88.3752,0,101.5721
1,SHITOMASI,FREAK,1301,14.7434,118,45.5114,86,60.2548
2,SHITOMASI,FREAK,1361,10.2298,123,45.4975,90,55.7273
3,SHITOMASI,FREAK,1358,11.216,120,46.4905,86,57.7065
4,SHITOMASI,FREAK,1333,10.4127,120,45.4361,88,55.8488
5,SHITOMASI,FREAK,1284,10.8459,113,45.3316,86,56.1775
6,SHITOMASI,FREAK,1322,10.3495,114,45.598,80,55.9475
7,SHITOMASI,FREAK,1366,10.3115,123,45.6229,81,55.9344
8,SHITOMASI,FREAK,1389,10.7394,111,45.116,86,55.8554
9,SHITOMASI,FREAK,1339,12.4475,112,45.7522,85,58.1997
0,SHITOMASI,SIFT,1370,10.6544,125,14.5211,0,25.1755
1,SHITOMASI,SIFT,1301,10.361,118,13.3817,112,23.7427
2,SHITOMASI,SIFT,1361,10.3543,123,12.3532,108,22.7075
3,SHITOMASI,SIFT,1358,10.1667,120,12.2165,103,22.3832
4,SHITOMASI,SIFT,1333,10.1866,120,12.4014,103,22.588
5,SHITOMASI,SIFT,1284,13.864,113,12.5682,101,26.4322
6,SHITOMASI,SIFT,1322,10.5093,114,12.6614,104,23.1707
7,SHITOMASI,SIFT,1366,12.1881,123,13.4355,96,25.6236
8,SHITOMASI,SIFT,1389,10.2137,111,12.2355,108,22.4492
9,SHITOMASI,SIFT,1339,11.2219,112,12.2003,101,23.4222
0,HARRIS,BRIEF,115,15.2273,17,0.239313,0,15.466613
1,HARRIS,BRIEF,98,10.8774,14,0.266221,14,11.143621
2,HARRIS,BRIEF,113,13.9223,18,0.321129,12,14.243429
3,HARRIS,BRIEF,121,11.9277,21,0.252613,14,12.180313
4,HARRIS,BRIEF,160,11.3312,26,0.280767,20,11.611967
